transfer_id,player_name,first_name,last_name,date,old_team_id,new_team_id
15678,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15679,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15680,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15681,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15682,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15683,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15684,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15685,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15686,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15687,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15688,Maurício Borges,Maurício,Borges,2021,,t1306
15689,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15690,Leo Andrić,Leo,Andrić,2021,t2000,
15691,Maurício Borges,Maurício,Borges,2021,,t1306
15692,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15693,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15694,Leo Andrić,Leo,Andrić,2021,t2000,
15695,Georgi Petrov,Georgi,Petrov,2021,,t1858
15696,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15697,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15698,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15699,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15700,Georgi Petrov,Georgi,Petrov,2021,,t1858
15701,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15702,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15703,David Marques,David,Marques,2021,t6585,t2806
15704,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15705,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15706,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15707,Luka Basic,Luka,Basic,2021,,t1664
15708,David Marques,David,Marques,2021,t6585,t2806
15709,Christian Fromm,Christian,Fromm,2021,,t1308
15710,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15711,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15712,Luka Basic,Luka,Basic,2021,,t1664
15713,Marian Epple,Marian,Epple,2021,,t7350
15714,Christian Fromm,Christian,Fromm,2021,,t1308
15715,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15716,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15717,Marian Epple,Marian,Epple,2021,,t7350
15718,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15719,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15720,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15721,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15722,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15723,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15724,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15725,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15726,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15727,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15728,Maurício Borges,Maurício,Borges,2021,,t1306
15729,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15730,Leo Andrić,Leo,Andrić,2021,t2000,
15731,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15732,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15733,Georgi Petrov,Georgi,Petrov,2021,,t1858
15734,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15735,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15736,Maurício Borges,Maurício,Borges,2021,,t1306
15737,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15738,Leo Andrić,Leo,Andrić,2021,t2000,
15739,David Marques,David,Marques,2021,t6585,t2806
15740,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15741,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15742,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15743,Luka Basic,Luka,Basic,2021,,t1664
15744,Georgi Petrov,Georgi,Petrov,2021,,t1858
15745,Christian Fromm,Christian,Fromm,2021,,t1308
15746,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15747,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15748,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15749,Marian Epple,Marian,Epple,2021,,t7350
15750,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15751,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15752,David Marques,David,Marques,2021,t6585,t2806
15753,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15754,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15755,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15756,Luka Basic,Luka,Basic,2021,,t1664
15757,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15758,Christian Fromm,Christian,Fromm,2021,,t1308
15759,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15760,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15761,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15762,Marian Epple,Marian,Epple,2021,,t7350
15763,Maurício Borges,Maurício,Borges,2021,,t1306
15764,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15765,Leo Andrić,Leo,Andrić,2021,t2000,
15766,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15767,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15768,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15769,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15770,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15771,Georgi Petrov,Georgi,Petrov,2021,,t1858
15772,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15773,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15774,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15775,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15776,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15777,Maurício Borges,Maurício,Borges,2021,,t1306
15778,David Marques,David,Marques,2021,t6585,t2806
15779,Leo Andrić,Leo,Andrić,2021,t2000,
15780,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15781,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15782,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15783,Luka Basic,Luka,Basic,2021,,t1664
15784,Georgi Petrov,Georgi,Petrov,2021,,t1858
15785,Christian Fromm,Christian,Fromm,2021,,t1308
15786,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15787,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15788,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15789,Marian Epple,Marian,Epple,2021,,t7350
15790,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15791,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15792,David Marques,David,Marques,2021,t6585,t2806
15793,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15794,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15795,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15796,Luka Basic,Luka,Basic,2021,,t1664
15797,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15798,Christian Fromm,Christian,Fromm,2021,,t1308
15799,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15800,Alexandru Morosan,Alexandru,Morosan,2021,t2339,t4589
15801,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15802,Marian Epple,Marian,Epple,2021,,t7350
15803,Maurício Borges,Maurício,Borges,2021,,t1306
15804,Asimakis Margaritis,Asimakis,Margaritis,2021,t18025,t13540
15805,Valens Torfi Ingimundarson,Valens,Ingimundarson,2021,t4361,t3732
15806,Victor Sysoev,Victor,Sysoev,2021,t2731,t5651
15807,Lucky Faruk,Lucky,Faruk,2021,t7605,t4526
15808,Cédric Bitouna,Cédric,Bitouna,2021,t14204,t8052
15809,Ian Iereshchenko,Ian,Iereshchenko,2021,t2003,t1301
15810,Maurício Borges,Maurício,Borges,2021,,t1306
15811,Leo Andrić,Leo,Andrić,2021,t2000,
15812,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15813,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15814,Leo Andrić,Leo,Andrić,2021,t2000,
15815,Georgi Petrov,Georgi,Petrov,2021,,t1858
15816,Alexander Dyachkov,Alexander,Dyachkov,2021,,t1594
15817,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15818,Nathan Mota Krupp,Nathan,Krupp,2021,,t5331
15819,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15820,Georgi Petrov,Georgi,Petrov,2021,,t1858
15821,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15822,Sam Hoeyberghs,Sam,Hoeyberghs,2021,t1645,
15823,David Marques,David,Marques,2021,t6585,t2806
15824,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15825,Atahan Yildiz,Atahan,Yildiz,2021,t10962,t6328
15826,Jonathan Rodríguez,Jonathan,Rodríguez,2021,t14324,t1650
15827,Luka Basic,Luka,Basic,2021,,t1664
15828,Christian Fromm,Christian,Fromm,2021,,t1308
15829,David Marques,David,Marques,2021,t6585,t2806
15830,Hugo Monteiro,Hugo,Monteiro,2021,t4301,t2806
15831,Luka Basic,Luka,Basic,2021,,t1664
15832,Christian Fromm,Christian,Fromm,2021,,t1308
