stadium_id,stadium_name,country_code,town,opening_year,capacity
a2887,Suzaka City Citizen Gymnasium,JP,Suzaka City Nagano,,
a2888,Tama City General Gymnasium,JP,Tama City Tokyo,,
a2889,Sakado City Sports Park Gymnasium,JP,Sakado City Saitama,,
a289,Yeomju Gymnasium,KR,Gwangju,1987.0,8500.0
a2890,Yamatokoriyama City Total Park,JP,Yamatokoriyama City Nara,,
a2891,Misato City General Gymnasium,JP,Misato City Saitama,,
a2892,Neurologia Ativa,BR,Goiânia,,
a2893,Centre Sportif de Sous-Moulin,CH,Thônex,,
a2894,Sport'n'Fun,AT,Wien,,
a2895,SKA 7,UA,Bila Tserkva,,
a2897,Takasu Town General Gymnasium,JP,Takasu Town Hokkaido,,200.0
a2898,Dynamo Volleyball Arena,,Moscow,2020.0,3500.0
a2899,Arakawa Comprehensive Sports Center,JP,Arakawa City Tokyo,1984.0,
a29,Sydney Entertainment Centre,AU,Sydney,1983.0,13250.0
a290,Hwaseong Sports Complex,KR,Hwaseong,2011.0,5158.0
a2900,Holstebro Stadionhal,DK,Holstebro,,
a2901,Derecske Városi Sportcsarnok,HU,Derecske,,
a2902,Clube Campestre,BR,Campina Grande,,
a2903,Sporthal Sparrendal,BE,Lanaken,,
a2905,Clube Doze de Agosto,BR,Florianopolis,,
a2906,Polideportivo Arístides Chierico,AR,CABA - Buenos Aires,1992.0,1000.0
a2907,SC Verde,ME,Podgorica,,
a2908,Univerzitetski Sportsko Kulturni Centar,ME,Podgorica,,
a291,Dowon Gymnasium,KR,Incheon,1975.0,2308.0
a2910,SC Pinki,RS,Zemun,1974.0,2300.0
a2911,NSSU Setagaya Campus Gymnasium,JP,Setagaya Ward Tokyo,,
a2912,TWCPE Gymnasium,JP,Kunitachi City Tokyo,,
a2913,Atsugi Morinosato Campus Gymnasium,JP,Atsugi City Kanagawa,,
a2914,Hala PWSZ w Tarnowie,PL,Tarnów,2013.0,
a2915,Odawara Arena,JP,Odawara City Kanagawa,1996.0,
a2916,Aoyama Gakuin Memorial Hall,JP,Shibuya City Tokyo,1964.0,
a2917,Palais des Sports,FR,Mâcon,,
a2919,Dragão Arena,PT,Porto,2009.0,2179.0
a292,Samsan World Gymnasium,KR,Incheon,2012.0,7220.0
a2920,SH Timotei Cipariu,RO,Blaj,,
a2922,Kleisto Gymnastirio Kroisos Persis,GR,Nea Smirni,1968.0,1200.0
a2924,Kokushikan University Tama Campus Gymnasium,JP,Tama City Tokyo,,
a2925,Jēkabpils Sporta Halle,LV,Jēkabpils,2020.0,1000.0
a2926,Toyota Sports Center,JP,Toyota City Aichi,1973.0,
a2927,ISE Censa,BR,Campos dos Goytacazes,,
a2928,Ota City Athletic Park Gymnasium,JP,Ota City Tokyo,1981.0,1987.0
a2929,Taraz Arena,,Taraz,,
a293,Jeonju Indoor Gymnasium,KR,Jeonju,1973.0,4730.0
a2930,Himeji City General Sports Center,JP,Himeji City Hyogo,,
a2931,Alytaus Suaugusiųjų ir Jaunimo Mokykla,LT,Alytaus,,
a2932,Klaipedos r. savivaldybes sporto centras,LT,Gargždai,,
